'id', 'download', 'upload', 'latency', 'date', 'distance', 'country_code', 'server_id','server_name','sponsor_name', 'sponsor_url', 'connection_mode', 'isp_name', 'isp_rating', 'test_rank','test_grade','test_rating', 'path'
1000000000,353,168,496,1287734032,1250,MN,949,DELETE ME,Ookla,None,multi,MagicNet,4.5,4,F-,1,result/1000000000
1000000001,457,106,97,1287734032,300,IN,798,Mumbai,Honesty Net Solutions,None,multi,Tata Indicom,2.0,8,F,1,result/1000000001
1000000002,4426,642,84,1287734032,0,US,1278,"Honolulu, HI",AlohaTone.com,None,multi,Hawaiian Telcom,2.5,17,F+,1,result/1000000002
1000000003,4245,876,676,1287734032,250,AE,822,Doha,Ooredoo Qatar,None,multi,du,2.5,24,D-,2,result/1000000003
1000000004,3239,116,352,1287734032,0,TW,1479,Taipei,Taiwan Mirror Site,None,multi,Chunghwa Telecom,3.0,5,F,1,result/1000000004
1000000005,3352,5381,20,1287734033,400,RU,1351,Omsk,Omsk-IX,None,multi,Siberian Networks,3.5,25,D,2,result/1000000005
1000000006,1429,1047,107,1287734033,350,IT,395,Rome,Unidata,None,multi,Fastweb,2.5,44,C-,3,result/1000000006
1000000007,9215,940,14,1287734033,50,US,1355,"Los Angeles, CA",DreamHost,None,multi,Spectrum,2.5,27,D,2,result/1000000007
1000000008,94307,42191,34,1287734033,250,UA,1108,Kiev,NetAssist,None,multi,TeNet,3.5,91,A,5,result/1000000008
1000000009,4835,945,11,1287734033,100,MK,1082,Skopje,Makedonski Telekom,None,multi,Neotel,3.0,42,C-,3,result/1000000009
